450 4
3.06836 1.34961 | -0.0147357 -2.47995 -151.43 -0.0396308 
3.2168 1.20117 | -0.0121612 -3.88894 -60.9894 -0.00403123 
3.07227 1.06836 | -0.0147182 -0.837879 -177.981 -5.87334e-05 
3.2832 1.05664 | -0.0105612 -4.22602 -13.3109 -2.3633e-05 
3.35742 1.0957 | -0.00899497 -5.79721 53.2643 
3.29492 1.16992 | -0.0105024 -5.06639 8.7289 
3.41211 1.1582 | -0.00779044 -7.20118 93.4993 
3.54883 1.02539 | -0.00400174 -9.28737 95.5501 
3.63477 1.17773 | -0.00190952 -12.0264 67.175 
3.50586 1.30273 | -0.00534177 -9.9901 130.174 
3.6582 1.38867 | -0.000880466 -13.9157 70.7104 
3.68945 1.47461 | 0.000438809 
3.74414 1.3457 | 0.001556 
3.75977 1.27148 | 0.00187979 
3.95117 1.27148 | 0.00821713 
3.99805 0.998047 | 0.0102376 
3.85352 0.755859 | 0.00681375 
3.68945 0.951172 | 0.00030386 
3.7168 0.880859 | 0.00152523 
3.64648 0.904297 | -0.000702426 -10.8702 31.2983 
3.60742 0.947266 | -0.00205289 -10.1864 61.8694 
3.60742 0.853516 | -0.00149112 -9.76431 52.4944 
3.60742 0.755859 | -0.000719028 -9.3714 42.7288 
3.6582 0.841797 | 4.66583e-05 
3.7168 0.755859 | 0.00247934 
3.66211 0.697266 | 0.00140506 
3.55664 0.740234 | -0.00198142 -8.19716 64.6418 
3.5332 0.646484 | -0.0016619 -7.36924 61.4063 
3.51367 0.548828 | -0.00100241 -6.66416 54.3339 
3.64648 0.529297 | 0.0029216 
3.66602 0.564453 | 0.00303122 
3.99805 0.498047 | 0.0147571 
3.74805 0.248047 | 0.0105266 
3.50195 0.251953 | 0.00343875 
3.62695 0.376953 | 0.00463601 
3.62305 0.498047 | 0.00267801 
3.56055 0.435547 | 0.00185476 
3.49805 0.498047 | -0.000723361 -6.20446 49.7928 
3.37305 0.498047 | -0.00381223 -3.71219 4.52883 
3.31055 0.435547 | -0.00432297 -2.40157 -50.788 -0.203302 
3.37305 0.373047 | -0.0019011 -3.43998 -7.97117 -0.267153 
3.31055 0.310547 | -0.00225559 -2.16841 -63.288 -0.39958 
3.37695 0.251953 | 0.000340115 
3.49805 0.248047 | 0.0034114 
3.37305 0.123047 | 0.00285867 
3.25195 0.126953 | 8.03497e-05 
3.31445 0.189453 | 0.000132108 
3.31055 0.248047 | -0.00110471 -2.08113 -69.538 -0.514788 
3.24805 0.248047 | -0.00245383 -0.970631 -127.078 -0.555085 
3.18555 0.248047 | -0.00372483 0.0856166 
3.18555 0.185547 | -0.00249582 0.153366 
3.18945 0.126953 | -0.00119553 0.134716 
3.24805 0.123047 | 8.23029e-05 
3.18555 0.0605469 | 0.000196561 
3.12305 0.123047 | -0.00238156 1.20358 
3.00195 0.251953 | -0.00708078 2.8697 
3.00195 0.501953 | -0.011196 2.39851 
3.00195 0.638672 | -0.0129178 2.00865 
3.08789 0.693359 | -0.0120497 0.57934 
3.13867 0.642578 | -0.0105818 -0.0362502 -182.346 -0.0419588 
3.2793 0.501953 | -0.00597849 -1.99517 -72.3905 -0.133484 
3.32617 0.599609 | -0.00621268 -3.11224 -20.9971 -0.0543324 
3.38086 0.541016 | -0.00421311 -3.97322 13.9688 
3.38867 0.677734 | -0.00564298 -4.54004 32.5192 
3.49805 0.705078 | -0.00320127 -6.82717 70.4959 
3.32227 0.724609 | -0.00764524 -3.45422 -11.7859 -0.0124735 
3.28711 0.779297 | -0.00891202 -3.02278 -37.4532 -0.00540907 
3.33008 0.853516 | -0.00852872 -4.10669 7.64065 
3.40039 0.798828 | -0.00648123 -5.21402 51.4245 
3.38477 0.923828 | -0.0077006 -5.45014 54.7232 
3.33398 0.998047 | -0.00923294 -4.84798 25.2974 
3.29883 0.900391 | -0.00952811 -3.74172 -14.7011 -0.000221624 
3.24805 0.970703 | -0.0109902 -3.17247 -54.8121 -1.76089e-06 
3.11133 0.857422 | -0.0130212 -0.414668 -179.057 -0.00109485 
3.03711 0.806641 | -0.0139452 0.903912 
3.01367 0.876953 | -0.0148358 0.941753 
2.99805 0.998047 | -0.0157234 0.592412 
2.82617 0.771484 | -0.0167428 3.77203 
2.85742 0.501953 | -0.0133053 4.26474 
2.69336 0.869141 | -0.0189713 4.77296 
2.42773 0.591797 | -0.0182823 7.85391 
2.56055 0.111328 | -0.00934799 7.78698 
2.79883 0.330078 | -0.0113464 5.29619 
2.99805 -0.00195313 | -0.0016843 3.08265 
2.81445 -0.0917969 | -0.00203708 5.37245 
2.9707 -0.150391 | 0.00167538 
2.96289 -0.470703 | 0.0112325 
2.81836 -0.373047 | 0.00606845 
2.66211 -0.447266 | 0.00677029 
2.59961 -0.279297 | 0.000980069 
2.49805 -0.00195313 | -0.00716477 8.27742 
2.24805 -0.251953 | -0.00139524 9.41403 
2.49805 -0.501953 | 0.00735476 
2.0293 -0.677734 | 0.0130503 
2.37695 -0.869141 | 0.0206266 
3.00195 -0.998047 | 0.0322454 
3.00977 -0.455078 | 0.01145 
3.02148 -0.248047 | 0.00521676 
3.17773 -0.224609 | 0.00735476 
3.50195 -0.498047 | 0.0232845 
3.99805 -0.501953 | 0.0387962 
3.74805 -0.751953 | 0.0395657 
0.869141 0.853516 | -0.00358762 -0.702076 -166.757 -1.43996 
0.941176 0.941176
